#Work	Collection	SNo	Name	Date	Dedication	Category	RhymeScheme	Description	Topic
inspired	weave	533	Our Children	10 Dec 2024	Compassiviste	Spirit	Alternate	...	Age 41
inspired	weave	538	Bhava	25 Jan 2025	Shobi	Work	Blank Verse	...	Age 41
inspired	weave	548	Is It The Hour	11 Feb 2025	MSA	Spirit	Blank Verse	...	Age 41
inspired	grace	551	That Dearest Student	22 Feb 2025	SKY	Spirit	Consecutive	...	Age 41
inspired	grace	552	Church2	25 Feb 2025	MSA	Divine	Alternate	...	Age 41
inspired	grace	553	Peace On Earth	25 Feb 2025	MSA	Ethos	Consecutive	...	Age 41
inspired	grace	554	New-age Art	25 Feb 2025	MSA	Go Within	Consecutive	...	Age 41
inspired	grace	555	Ode to the Lord of Time	26 Feb 2025	MSA	Go Within	Consecutive	...	Age 41
inspired	grace	556	Debride	26 Feb 2025	Self	Divine	Consecutive	...	Age 41
inspired	grace	557	Oppressed	27 Feb 2025	Women	Healing	Alternate	...	Age 41
inspired	grace	558	Unblock and Heal	27 Feb 2025	Self	Healing	Alternate	...	Age 41
inspired	grace	559	Release	27 Feb 2025	Jyothi	Friends	Alternate	...	Age 41
inspired	grace	560	Fury Unshackled	27 Feb 2025	Self	Pacifism	Blank Verse	...	Age 41
inspired	grace	561	Bawl	28 Feb 2025	Self	Strength	Blank Verse	...	Age 41
inspired	grace	562	Nary a Single Horror	12 Mar 2025	Lee	Spirit	Consecutive	...	Age 41
inspired	grace	563	King Sized Beauty	13 Mar 2025	Vishnu Vasu	Spirit	Consecutive	After a strong response to "562 horror"	Age 41
inspired	grace	564	Never Ready	8 Apr 2025	Ravee	Death	Consecutive	For a friend when his relative was in a coma.	Age 41
inspired	grace	565	Dear Younger Self	25 Apr 2025	Self	Healing	Alternate	...	Age 41
inspired	grace	567	Save Us From Ourselves	30 Apr 2025	Remzi	Spirit	Consecutive	...	Age 41
